SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
474,95th,WB,Torrence,Jeffery,0.8,E,,-87.55987084,41.72284148,-87.57536489,41.72264229,-1,40:18.0
1059,Randolph,WB,Halsted,Racine,0.47,W,,-87.64743137,41.88443047,-87.65671899,41.88426755,-1,40:25.0
1296,State,NB,Wacker,Chicago,0.68,N,,-87.627876,41.886813,-87.628098,41.896677,15,40:29.0
358,Western,NB,Fullerton,Kennedy Expy,0.2,N,,-87.68745819,41.92489965,-87.68756612,41.92798077,-1,40:08.0
350,Western,NB,Roosevelt,Van Buren,0.65,S,,-87.68585486,41.86661151,-87.68608592,41.87608259,20,40:08.0
627,Cicero,NB,Belmont,Addison,0.5,N,,-87.74669449,41.93881864,-87.74686922,41.94611901,29,40:15.0
344,Western,NB,43rd,Pershing,0.5,S,Western Blvd Run Parallel on the East Side,-87.68444497,41.81569489,-87.68469334,41.82299499,25,40:08.0
416,79th,WB,Pulaski,Kostner,0.5,W,,-87.72188153,41.74967093,-87.73160405,41.74947825,29,40:07.0
922,Michigan,SB,Ohio,Randolph,0.56,N,,-87.624359,41.892571,-87.62465,41.88447407,17,40:20.0
242,Roosevelt,WB,Jefferson,Halsted,0.25,W,,-87.64218638,41.86735687,-87.64691688,41.8672913,15,40:11.0
944,Milwaukee,SE,Foster,Lawrence,0.65,N,,-87.7679224,41.97565606,-87.76095888,41.96784533,21,40:25.0
632,Cicero,SB,72nd,79th,0.88,S,,-87.74196546,41.76190001,-87.74162968,41.74920335,25,40:15.0
380,Western,SB,59th,63rd,0.5,S,,-87.68401393,41.78652976,-87.68382266,41.77921705,14,40:09.0
204,North,WB,Central Park,Pulaski,0.49,W,,-87.71669936,41.91013136,-87.72632941,41.91002389,24,40:04.0
1297,State,SB,Chicago,Wacker,0.68,N,,-87.628298,41.896677,-87.628076,41.886813,24,40:29.0
997,Touhy,EB,Caldwell,Lehigh,0.79,W,outside city limits,-87.7888441,42.0118013,-87.77340856,42.01172704,30,40:27.0
